project, size, inversion-ratio, thr  eads, run, time, instructions, cycles, context-switches, cache-misses, L1-dcache-load-misses, stalled-cycles-frontend, stalled-cycles-backend
C, 64, 100, 32, 8, 11.05, 9915416, 24497378, 241, 131309, 140017, 5643570, 8970772
C, 1024, 0, 1, 1, .21, 3322911, 4756081, 1, 23491, 40044, 993124, 1670982
C, 1024, 0, 1, 2, .21, 3291115, 4552043, 1, 23514, 39765, 993474, 1599285
C, 1024, 0, 1, 3, .20, 3261983, 4686196, 1, 23847, 41645, 1011427, 1684160
C, 1024, 0, 1, 4, .21, 3267567, 4573715, 1, 23695, 39896, 1015351, 1631412
C, 1024, 0, 1, 5, .21, 3297956, 4523541, 1, 23544, 41180, 1012150, 1656549
C, 1024, 0, 1, 6, .21, 3285105, 4625686, 1, 23681, 39264, 1040317, 1640977
C, 1024, 0, 1, 7, .20, 3283816, 4496411, 1, 24084, 40504, 989378, 1632076
C, 1024, 0, 1, 8, .21, 3302143, 4556492, 1, 24039, 39917, 990209, 1571335
C, 1024, 0, 2, 1, .50, 3412137, 4978621, 2, 28101, 44589, 1148009, 1846484
C, 1024, 0, 2, 2, .51, 3434698, 5081559, 2, 28597, 44131, 1174708, 1844534
C, 1024, 0, 2, 3, .51, 3411387, 4996283, 2, 28811, 42861, 1155814, 1799176
C, 1024, 0, 2, 4, .50, 3428393, 5145870, 2, 28488, 42641, 1139692, 1750345
C, 1024, 0, 2, 5, .51, 3396129, 5076000, 2, 28175, 42761, 1158721, 1794380
C, 1024, 0, 2, 6, .51, 3416832, 4929901, 2, 28497, 44101, 1126099, 1777183
C, 1024, 0, 2, 7, .51, 3373094, 5009768, 2, 28780, 42571, 1123937, 1739213
C, 1024, 0, 2, 8, .51, 3418441, 4989807, 2, 28558, 42765, 1158389, 1738665
C, 1024, 0, 4, 1, 1.40, 3893613, 6186610, 11, 35897, 48236, 1476798, 2246177
C, 1024, 0, 4, 2, 1.30, 3661627, 6294193, 8, 35237, 49244, 1477346, 2220025
C, 1024, 0, 4, 3, 1.45, 3926430, 6334315, 13, 39063, 49372, 1359044, 2189942
C, 1024, 0, 4, 4, 1.27, 3870049, 5690098, 5, 36331, 50391, 1357283, 2105979
C, 1024, 0, 4, 5, 1.15, 3662740, 6257585, 11, 36823, 48472, 1362375, 2207727
C, 1024, 0, 4, 6, 1.26, 3708213, 6146079, 6, 40234, 50791, 1462187, 2053213
C, 1024, 0, 4, 7, 1.33, 3921443, 6144596, 5, 40049, 47539, 1468821, 2209485
C, 1024, 0, 4, 8, 1.41, 3891649, 6122345, 4, 40465, 49527, 1458743, 2219803
C, 1024, 0, 8, 1, 2.63, 4878892, 8010998, 36, 57144, 64061, 1968295, 3015410
C, 1024, 0, 8, 2, 2.91, 4920627, 8899241, 27, 55802, 60292, 2029463, 3076370
C, 1024, 0, 8, 3, 2.85, 4717553, 8455261, 30, 55091, 59446, 1927171, 3217276
C, 1024, 0, 8, 4, 2.84, 4590473, 8444445, 40, 58607, 60817, 2005939, 3093987
C, 1024, 0, 8, 5, 2.79, 4896536, 8548718, 41, 55901, 60236, 2015619, 3128173
C, 1024, 0, 8, 6, 2.67, 4682225, 8389496, 31, 54889, 60933, 1957200, 3079163
C, 1024, 0, 8, 7, 2.71, 5007010, 8724420, 42, 55914, 61139, 2000594, 2938849
C, 1024, 0, 8, 8, 2.81, 4984381, 8446027, 12, 57090, 61662, 1959690, 2894067
C, 1024, 0, 16, 1, 5.75, 7257036, 13839878, 119, 85539, 86245, 3466441, 5033408
C, 1024, 0, 16, 2, 5.62, 7259163, 14123719, 109, 92384, 89308, 3058326, 4548398
C, 1024, 0, 16, 3, 5.56, 6742086, 14803635, 90, 91524, 89783, 3420593, 5016522
C, 1024, 0, 16, 4, 5.75, 6570588, 12607443, 118, 93761, 87693, 3353710, 4890344
